# log host galaxy stellar mass, nsc stellar mass
5.614519723301746, 5.345178020263738
5.795523229925875, 5.398607150129998
5.988235572744163, 4.924671836566405
6.02754028982653, 4.889809070792906
5.893018793883582, 5.327486076331084
5.9569764157217655, 5.272263150424867
5.869932119247217, 5.210204328137165
5.810709300569972, 5.652413700661764
5.769043043685072, 5.714324221744615
5.818317251464569, 5.58323520860762
6.108923331003921, 5.452570344887538
6.069087926899158, 5.535839003004854
6.079022358930747, 5.609741554533015
6.157071101717587, 5.322441999313556
6.187355973230609, 5.1561971053220255
6.11092195046832, 5.002247349626875
6.1914051950962685, 4.988052377393399
6.291443168827084, 5.021236837314065
6.312056832589442, 4.927004839115237
6.435059603172937, 5.021236837314065
6.341029478351282, 5.284763336669005
6.426645208538057, 5.749616605033402
6.534757862754876, 5.793352751800451
6.4794162574759575, 5.97447865624233
6.756469963257619, 5.161083632093035
6.838740964351379, 5.195419232439297
6.760891633196806, 5.3781905103006356
6.579801733883785, 5.021236837314065
6.573347935541816, 4.820822194181301
6.9174867036559435, 5.80433867306383
6.5198118681233845, 5.520129847610428
7.152184077220261, 5.826373052825688
6.8994081118132895, 5.562120335980888
7.008592723188436, 5.212672598182536
7.0499809596008935, 5.365469338366834
7.180313899401467, 5.350243644202917
7.033856570635408, 4.959783162645589
6.8656380024020685, 4.929338946895253
7.173271088719175, 4.6990892662661565
7.267745889165894, 4.710230495247002
7.477546986504267, 5.014107346316256
7.313056303184201, 5.252324322717195
7.377931148927771, 4.862096638717309
7.472656619002036, 5.736016889432776
7.448252714689838, 5.639043901583547
7.161548418548313, 6.326869246638199
7.152184077220261, 6.196384659238785
7.03845977205924, 6.543243128412588
7.6908883195646105, 7.237784584450845
7.460444688383322, 6.472351877595857
7.754040435593742, 6.4907708612464985
8.117396832249005, 6.5
7.73377554197386, 6.1758753161335
7.863877480672623, 6.10896422671551
7.67831975133735, 6.022777147581805
7.658252750883494, 5.8484910793074985
7.866450257862142, 5.951884165570828
7.920673440893396, 5.787867591060262
7.643236924651064, 5.478456360852138
7.337017241821613, 5.465498027530782
7.377931148927771, 5.501858832614358
7.327423459895309, 5.538461538461538
7.721136886786743, 5.350243644202917
7.698439333564143, 5.304825309078042
7.680831820727879, 5.267271358610418
8.130684121554205, 6.017074767255224
8.971970334464602, 6.627454686462403
9.14082464615549, 6.193450588403542
8.803355051581292, 6.074342372623843
8.78034781359999, 5.918152544709512
8.794720281031433, 5.546336601549126
9.078248577145228, 5.473269344795152
8.38457282765828, 5.294784821014869
8.495000948236314, 5.416535278640529
8.253952264887438, 5.486246103394304
8.208180431373737, 5.347710232431186
8.040757642223943, 4.901402483780698
8.425814142982116, 5.796097281219827
8.595629209219377, 6.022777147581805
8.740229736915804, 6.512325934786168
8.663376070962553, 5.884612093940605
9.001366639063978, 6.405261658484184
